selected_alpha,count,backbone
0.1,88,All
0.15,73,All
0.2,43,All
0.25,39,All
0.3,64,All
0.35,94,All
0.4,39,All
0.45,56,All
0.5,14,All
0.55,51,All
0.6,23,All
0.65,33,All
0.7,37,All
0.75,14,All
0.8,18,All
0.85,47,All
0.9,77,All
0.1,23,bagged_cart
0.15,20,bagged_cart
0.2,16,bagged_cart
0.25,16,bagged_cart
0.3,25,bagged_cart
0.35,37,bagged_cart
0.4,14,bagged_cart
0.45,14,bagged_cart
0.5,6,bagged_cart
0.55,21,bagged_cart
0.6,12,bagged_cart
0.65,7,bagged_cart
0.7,14,bagged_cart
0.75,1,bagged_cart
0.8,6,bagged_cart
0.85,14,bagged_cart
0.9,24,bagged_cart
0.1,37,extratrees
0.15,29,extratrees
0.2,12,extratrees
0.25,6,extratrees
0.3,15,extratrees
0.35,33,extratrees
0.4,15,extratrees
0.45,16,extratrees
0.5,6,extratrees
0.55,15,extratrees
0.6,7,extratrees
0.65,7,extratrees
0.7,12,extratrees
0.75,9,extratrees
0.8,9,extratrees
0.85,19,extratrees
0.9,23,extratrees
0.1,28,rf
0.15,24,rf
0.2,15,rf
0.25,17,rf
0.3,24,rf
0.35,24,rf
0.4,10,rf
0.45,26,rf
0.5,2,rf
0.55,15,rf
0.6,4,rf
0.65,19,rf
0.7,11,rf
0.75,4,rf
0.8,3,rf
0.85,14,rf
0.9,30,rf
