dataset,nested_tuned_raw,1to1_raw,2to1_raw,2to1_local
blood-transfusion,0.4099756428874947,0.41112258158513887,0.41241590461973865,0.4147305874902619
diabetes,0.694290212176451,0.6935017640102975,0.6959493436283655,0.6969944182636502
ecoli,0.9163415243207459,0.92470572185161,0.9239619286078168,0.9265644241514889
ionosphere,0.9702114901803047,0.9704736301520307,0.9718013947520027,0.971640991515035
keel-ecoli2,0.9045523811197024,0.90498837366773,0.9046844244593036,0.9057974056969076
keel-ecoli3,0.7324375939221072,0.726166808192816,0.7351666783443439,0.7343312067991417
keel-glass2,0.5172332235815771,0.5117558290604312,0.5069213660425598,0.5082860013881033
keel-glass6,0.9407777025856685,0.938508223221246,0.9436333823326527,0.9439301366685748
keel-page-blocks0,0.8973196855854454,0.8956955310308605,0.897769130170501,0.9000692134841202
keel-vehicle1,0.6492797430646299,0.651294302044121,0.6530637601518325,0.6534790323537298
keel-yeast1,0.6372907124485909,0.6374613179867166,0.638852430144021,0.6387581929347723
keel-yeast3,0.833212357877801,0.8323120658329717,0.8332925669800216,0.8340178839483343
keel-yeast5,0.8231900121782515,0.8214342921028287,0.8191677161484742,0.8207840551054993
openml-1068-pc1,0.4357645296096829,0.43359177462472576,0.435953463997533,0.4392554772454711
openml-1487-ozone-level-8hr,0.5363553252484359,0.5355540576231529,0.5405234915765867,0.5416260724643299
openml-40691-wine-quality-red,0.16909932318710294,0.179394032586345,0.1768294791536977,0.178694677290497
sonar,0.9282547754266188,0.9288239336249269,0.9297880996507667,0.930248709413922
vehicle,0.9811898581074969,0.981608515437795,0.9820063434360381,0.9819864563233534
