dataset,dataset_source,backbone,seed,fold,method,selected_alpha,selected_original_weight,selected_shadow_weight,candidate_alphas,inner_pooled_ap_grid,inner_mean_fold_ap_grid,inner_best_pooled_ap,inner_tie_count,inner_folds,original_estimators,shadow_estimators,pr_auc,roc_auc,f1,recall,precision,balanced_accuracy,mcc,accuracy,brier_score,mean_probability,true_prevalence,inner_cv_runtime_seconds,final_sampler_runtime_seconds,final_branch_runtime_seconds,final_scoring_runtime_seconds,runtime_seconds,n_train_original,n_train_shadow,n_generated,pi_original,pi_shadow,sampler_warning
blood-transfusion,openml,bagged_cart,42,1,nested_tuned_raw_fol_equal100,0.6,0.4,0.6,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.435085470199,""0.15"":0.435558329742,""0.20"":0.435610811138,""0.25"":0.436381580576,""0.30"":0.43710129861,""0.35"":0.437174592513,""0.40"":0.437715573726,""0.45"":0.438326918882,""0.50"":0.438379934102,""0.55"":0.438303099574,""0.60"":0.438618476296,""0.65"":0.438263389216,""0.70"":0.435405099598,""0.75"":0.434912757318,""0.80"":0.43528327264,""0.85"":0.433670640863,""0.90"":0.432495161258}","{""0.10"":0.446714637667,""0.15"":0.446567950047,""0.20"":0.446821735964,""0.25"":0.446695750921,""0.30"":0.448654017778,""0.35"":0.448351810562,""0.40"":0.448959675383,""0.45"":0.450645476993,""0.50"":0.4500087678,""0.55"":0.450291503214,""0.60"":0.45100608723,""0.65"":0.451754727366,""0.70"":0.448264075837,""0.75"":0.450264886195,""0.80"":0.453676057349,""0.85"":0.453470268977,""0.90"":0.452564050608}",0.4386184762955623,1,3,100,100,0.3733661225740385,0.6632553606237818,0.4,0.4166666666666667,0.38461538461538464,0.6030701754385965,0.20071179461045832,0.7,0.2129008503702853,0.3232345406604081,0.24,1.689574,0.305106,0.278782,0.005311,2.28064,598,893,295,0.23745819397993312,0.48936170212765956,generated 295 of requested 314 synthetic points
blood-transfusion,openml,bagged_cart,42,2,nested_tuned_raw_fol_equal100,0.15,0.85,0.15,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.458375117262,""0.15"":0.459930124872,""0.20"":0.457208251584,""0.25"":0.455066072419,""0.30"":0.453338421071,""0.35"":0.451877937166,""0.40"":0.45125344132,""0.45"":0.451310917797,""0.50"":0.448809966576,""0.55"":0.449769333002,""0.60"":0.447761510735,""0.65"":0.446589094086,""0.70"":0.444483140755,""0.75"":0.442131803403,""0.80"":0.437160614585,""0.85"":0.433237149652,""0.90"":0.431232828453}","{""0.10"":0.46055982334,""0.15"":0.462318523516,""0.20"":0.459958265556,""0.25"":0.457679847482,""0.30"":0.456136939449,""0.35"":0.454645388494,""0.40"":0.453781881444,""0.45"":0.454695986414,""0.50"":0.452230388022,""0.55"":0.452191390277,""0.60"":0.450477736974,""0.65"":0.448662765148,""0.70"":0.446541210812,""0.75"":0.44448871468,""0.80"":0.440185942486,""0.85"":0.439660844363,""0.90"":0.438917863465}",0.4599301248716642,1,3,100,100,0.4518318874402148,0.7291666666666665,0.43333333333333335,0.3611111111111111,0.5416666666666666,0.6323099415204678,0.3082728345743856,0.7733333333333333,0.1675193041337901,0.2306906219295368,0.24,1.502937,0.329771,0.284722,0.005151,2.124397,598,894,296,0.23745819397993312,0.4899328859060403,generated 296 of requested 314 synthetic points
blood-transfusion,openml,bagged_cart,42,3,nested_tuned_raw_fol_equal100,0.9,0.09999999999999998,0.9,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.392227294465,""0.15"":0.391073350374,""0.20"":0.391611987243,""0.25"":0.39324272328,""0.30"":0.393900767274,""0.35"":0.393246744656,""0.40"":0.395827671428,""0.45"":0.395642719113,""0.50"":0.395181074893,""0.55"":0.39597823457,""0.60"":0.397133522332,""0.65"":0.399328254228,""0.70"":0.39859703001,""0.75"":0.398757439132,""0.80"":0.398641539836,""0.85"":0.399784764578,""0.90"":0.399914782924}","{""0.10"":0.412611680738,""0.15"":0.41050304316,""0.20"":0.40905024986,""0.25"":0.410844338253,""0.30"":0.41368209431,""0.35"":0.412885169396,""0.40"":0.413018952587,""0.45"":0.414269118971,""0.50"":0.41211981059,""0.55"":0.414910265577,""0.60"":0.414726692077,""0.65"":0.418403343015,""0.70"":0.419881293685,""0.75"":0.418400445761,""0.80"":0.418075315639,""0.85"":0.419391265867,""0.90"":0.419187277955}",0.3999147829235928,1,3,100,100,0.4055946684804606,0.6608187134502923,0.38596491228070173,0.3055555555555556,0.5238095238095238,0.6089181286549707,0.26812007995287146,0.7666666666666667,0.19180005324331417,0.23240360916094474,0.24,1.496614,0.310262,0.280653,0.005012,2.094356,598,890,292,0.23745819397993312,0.48764044943820223,generated 292 of requested 314 synthetic points
blood-transfusion,openml,bagged_cart,42,4,nested_tuned_raw_fol_equal100,0.3,0.7,0.3,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.383895411417,""0.15"":0.383252481143,""0.20"":0.383480011869,""0.25"":0.383844838634,""0.30"":0.38661816026,""0.35"":0.385816652004,""0.40"":0.385696411049,""0.45"":0.383998602184,""0.50"":0.384103381926,""0.55"":0.383653828683,""0.60"":0.383840586049,""0.65"":0.383897399346,""0.70"":0.382295170752,""0.75"":0.380705785792,""0.80"":0.384677876512,""0.85"":0.384596867521,""0.90"":0.385366504478}","{""0.10"":0.391259154751,""0.15"":0.390253012474,""0.20"":0.390286906807,""0.25"":0.39048213276,""0.30"":0.389943210604,""0.35"":0.389531247395,""0.40"":0.387715257157,""0.45"":0.385457218198,""0.50"":0.383697764487,""0.55"":0.386476529874,""0.60"":0.385163687703,""0.65"":0.385050747162,""0.70"":0.382143230004,""0.75"":0.380700367571,""0.80"":0.381300495711,""0.85"":0.382557471584,""0.90"":0.386695518309}",0.3866181602600161,1,3,100,100,0.42298131093939084,0.6789473684210526,0.4838709677419355,0.42857142857142855,0.5555555555555556,0.6616541353383458,0.35582910235512977,0.785234899328859,0.1832124448929025,0.2503782336589886,0.2348993288590604,1.4977,0.333644,0.282,0.005058,2.120213,599,899,300,0.2387312186978297,0.492769744160178,generated 300 of requested 313 synthetic points
blood-transfusion,openml,bagged_cart,42,5,nested_tuned_raw_fol_equal100,0.9,0.09999999999999998,0.9,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.390158133938,""0.15"":0.390980734724,""0.20"":0.392525445095,""0.25"":0.393617768344,""0.30"":0.394085793108,""0.35"":0.393822303681,""0.40"":0.394236852171,""0.45"":0.393665730971,""0.50"":0.393289838271,""0.55"":0.393679663357,""0.60"":0.393975452678,""0.65"":0.394244076207,""0.70"":0.395045192214,""0.75"":0.395068787454,""0.80"":0.3950245805,""0.85"":0.394455432846,""0.90"":0.395734267977}","{""0.10"":0.421395258817,""0.15"":0.420675354644,""0.20"":0.42214734497,""0.25"":0.422064591664,""0.30"":0.420923002248,""0.35"":0.420516861465,""0.40"":0.420859471769,""0.45"":0.419576768941,""0.50"":0.419465443377,""0.55"":0.419834239351,""0.60"":0.421323401343,""0.65"":0.421781506276,""0.70"":0.420956685028,""0.75"":0.419504746502,""0.80"":0.418602523575,""0.85"":0.418817246366,""0.90"":0.422456318571}",0.3957342679772431,1,3,100,100,0.3648898549017181,0.6744360902255638,0.3561643835616438,0.37142857142857144,0.34210526315789475,0.5760651629072682,0.14796157838889215,0.6845637583892618,0.21002219554534723,0.3161451046821522,0.2348993288590604,1.488755,0.341123,0.28066,0.005175,2.117532,599,899,300,0.2387312186978297,0.492769744160178,generated 300 of requested 313 synthetic points
blood-transfusion,openml,bagged_cart,44,1,nested_tuned_raw_fol_equal100,0.2,0.8,0.2,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.375258486981,""0.15"":0.376044372152,""0.20"":0.377159886019,""0.25"":0.376455395072,""0.30"":0.375613487404,""0.35"":0.374782179075,""0.40"":0.37397050606,""0.45"":0.374073887172,""0.50"":0.374451318976,""0.55"":0.373692097233,""0.60"":0.373916866734,""0.65"":0.377147144748,""0.70"":0.37689420258,""0.75"":0.376725324504,""0.80"":0.376302536527,""0.85"":0.375526828404,""0.90"":0.374718425066}","{""0.10"":0.393127759842,""0.15"":0.39290809045,""0.20"":0.394990592598,""0.25"":0.392546131383,""0.30"":0.3925356647,""0.35"":0.390870238627,""0.40"":0.389592073906,""0.45"":0.389844484814,""0.50"":0.389203014078,""0.55"":0.387793885271,""0.60"":0.387632856219,""0.65"":0.388577524027,""0.70"":0.386932620479,""0.75"":0.38711071965,""0.80"":0.385255918102,""0.85"":0.386320146686,""0.90"":0.387113800336}",0.377159886018941,1,3,100,100,0.46922073492696414,0.7348927875243665,0.4307692307692308,0.3888888888888889,0.4827586206896552,0.6286549707602339,0.27827139042158594,0.7533333333333333,0.1729782570179676,0.24898657425571324,0.24,1.500066,0.329892,0.279306,0.005211,2.11628,598,896,298,0.23745819397993312,0.49107142857142855,generated 298 of requested 314 synthetic points
blood-transfusion,openml,bagged_cart,44,2,nested_tuned_raw_fol_equal100,0.9,0.09999999999999998,0.9,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.373857988756,""0.15"":0.374442150961,""0.20"":0.375612824344,""0.25"":0.375954235904,""0.30"":0.376058858007,""0.35"":0.375750532213,""0.40"":0.376061171215,""0.45"":0.377661322442,""0.50"":0.377578275206,""0.55"":0.379241102486,""0.60"":0.379954732181,""0.65"":0.380967287297,""0.70"":0.384292927248,""0.75"":0.38495184901,""0.80"":0.388011633991,""0.85"":0.38944937182,""0.90"":0.389629157456}","{""0.10"":0.393495615299,""0.15"":0.393470944861,""0.20"":0.395692176798,""0.25"":0.395050933048,""0.30"":0.395284909955,""0.35"":0.395238956961,""0.40"":0.395102278215,""0.45"":0.394946795505,""0.50"":0.394144628446,""0.55"":0.396033270353,""0.60"":0.396912966454,""0.65"":0.398445060368,""0.70"":0.400490077327,""0.75"":0.39972851445,""0.80"":0.399889162595,""0.85"":0.398212731372,""0.90"":0.398118450693}",0.38962915745608456,1,3,100,100,0.4376975459130521,0.6669103313840156,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.5796783625730995,0.15935672514619884,0.6933333333333334,0.20087682401289594,0.30538665857216407,0.24,1.502236,0.329175,0.276937,0.005167,2.115342,598,895,297,0.23745819397993312,0.49050279329608937,generated 297 of requested 314 synthetic points
blood-transfusion,openml,bagged_cart,44,3,nested_tuned_raw_fol_equal100,0.15,0.85,0.15,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.417577141053,""0.15"":0.418275245661,""0.20"":0.41730109039,""0.25"":0.416507270016,""0.30"":0.414480187074,""0.35"":0.417009646799,""0.40"":0.4166613185,""0.45"":0.416312526683,""0.50"":0.413372541123,""0.55"":0.413346369005,""0.60"":0.411925878158,""0.65"":0.411433553167,""0.70"":0.410778134682,""0.75"":0.408226877032,""0.80"":0.402747898295,""0.85"":0.40136233059,""0.90"":0.400834587071}","{""0.10"":0.434088438192,""0.15"":0.434596894525,""0.20"":0.434353658968,""0.25"":0.433660809978,""0.30"":0.431898438081,""0.35"":0.436253791091,""0.40"":0.434748537122,""0.45"":0.434548999769,""0.50"":0.429914590989,""0.55"":0.429381152263,""0.60"":0.427803052305,""0.65"":0.42661859044,""0.70"":0.424985031135,""0.75"":0.41992085358,""0.80"":0.418605071766,""0.85"":0.417343832646,""0.90"":0.416900487632}",0.41827524566140867,1,3,100,100,0.40523417672394585,0.6636208576998051,0.4067796610169492,0.3333333333333333,0.5217391304347826,0.618421052631579,0.28073516140841054,0.7666666666666667,0.19084548030684745,0.2182632894439281,0.24,1.479667,0.332952,0.284322,0.005424,2.104226,598,899,301,0.23745819397993312,0.492769744160178,generated 301 of requested 314 synthetic points
blood-transfusion,openml,bagged_cart,44,4,nested_tuned_raw_fol_equal100,0.9,0.09999999999999998,0.9,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.390072258886,""0.15"":0.390510515516,""0.20"":0.390440205107,""0.25"":0.391382582528,""0.30"":0.390200091924,""0.35"":0.38997087934,""0.40"":0.390507329291,""0.45"":0.390823528267,""0.50"":0.390611482482,""0.55"":0.391754383255,""0.60"":0.393625476665,""0.65"":0.392714555944,""0.70"":0.391411694219,""0.75"":0.392034863586,""0.80"":0.393223014506,""0.85"":0.393197125677,""0.90"":0.396682687092}","{""0.10"":0.39630813867,""0.15"":0.397154043397,""0.20"":0.398259971812,""0.25"":0.399522724271,""0.30"":0.397554816959,""0.35"":0.398064215368,""0.40"":0.39749224165,""0.45"":0.397547147323,""0.50"":0.3969201217,""0.55"":0.398422581949,""0.60"":0.401003372947,""0.65"":0.400444545649,""0.70"":0.398624544935,""0.75"":0.400764564161,""0.80"":0.401555429308,""0.85"":0.40034876531,""0.90"":0.403554753577}",0.3966826870923347,1,3,100,100,0.43256917425090113,0.6941102756892231,0.36065573770491804,0.3142857142857143,0.4230769230769231,0.5913533834586466,0.20408066030565,0.738255033557047,0.17998959681465396,0.26614357166323527,0.2348993288590604,1.489428,0.34737,0.281368,0.005372,2.1254,599,898,299,0.2387312186978297,0.4922048997772829,generated 299 of requested 313 synthetic points
blood-transfusion,openml,bagged_cart,44,5,nested_tuned_raw_fol_equal100,0.35,0.65,0.35,"0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90","{""0.10"":0.400848891698,""0.15"":0.401496404246,""0.20"":0.401690590637,""0.25"":0.401372608168,""0.30"":0.401383478721,""0.35"":0.402221829317,""0.40"":0.399527431752,""0.45"":0.398603941479,""0.50"":0.397339894885,""0.55"":0.39730588761,""0.60"":0.396392177665,""0.65"":0.395221492621,""0.70"":0.394172902496,""0.75"":0.394430069076,""0.80"":0.394284323253,""0.85"":0.39421578184,""0.90"":0.393150585198}","{""0.10"":0.414024045803,""0.15"":0.415084922444,""0.20"":0.41477847101,""0.25"":0.413765325927,""0.30"":0.413335550765,""0.35"":0.414032495306,""0.40"":0.408935120066,""0.45"":0.408341677676,""0.50"":0.406716789062,""0.55"":0.406223434093,""0.60"":0.40564764906,""0.65"":0.405914699849,""0.70"":0.404284266718,""0.75"":0.404906123394,""0.80"":0.406030208374,""0.85"":0.408186351146,""0.90"":0.405429644362}",0.4022218293171833,1,3,100,100,0.4174884079810593,0.7169172932330827,0.36923076923076925,0.34285714285714286,0.4,0.5924812030075188,0.19554008783195098,0.7248322147651006,0.18350278701608141,0.25988078495230393,0.2348993288590604,1.446522,0.314596,0.277362,0.005096,2.045379,599,899,300,0.2387312186978297,0.492769744160178,generated 300 of requested 313 synthetic points
