code,label,mean_pr_auc,avg_rank
P-FOL-L,PSTE+Fast Outward Ladder (logit),0.6865092087290966,7.1
P-FOL,PSTE+Fast Outward Ladder,0.6869525445453175,7.326666666666667
P-SMT,PSTE+SMOTE--Tomek,0.6856230316952635,7.866666666666666
P-BSM,PSTE+Borderline-SMOTE,0.6849750469702396,8.6
P-SM,PSTE+SMOTE,0.6848285216776944,8.866666666666667
P-ADA,PSTE+ADASYN,0.684973511419506,8.92
P-KM,PSTE+KMeans-SMOTE,0.6821226187454579,8.94
P-DS,PSTE+DeepSMOTE,0.6827033206783427,9.48
P-MG,PSTE+MGVAE,0.6823193380271996,9.666666666666666
P-ROS,PSTE+ROS,0.6823422086807758,9.74
BRF,Balanced Random Forest,0.6765182857967884,10.226666666666667
None,Original prior,0.6808754384650898,11.373333333333333
OS-DS,DeepSMOTE,0.6780298329826657,12.266666666666667
OS-FOL,Fast Outward Ladder,0.6756155781400001,12.973333333333333
OS-MG,MGVAE,0.6679853258985573,14.6
OS-ROS,ROS,0.665899131412075,15.04
Easy,EasyEnsemble,0.6564031135258296,15.693333333333333
OS-KM,KMeans-SMOTE,0.6630836375195244,15.933333333333334
OS-SMT,SMOTE--Tomek,0.6664700785724115,16.426666666666666
OS-BSM,Borderline-SMOTE,0.6635176065655628,16.426666666666666
OS-SM,SMOTE,0.6665930059118625,16.493333333333332
BB,Balanced Bagging,0.6566474607376335,17.0
OS-ADA,ADASYN,0.6588176820350988,18.506666666666668
RUS,RUSBoost,0.5970870871977292,20.533333333333335
