code,label,mean_delta,median_delta,wins,ties,losses,p,holm_p
P-FOL-L,PSTE+Fast Outward Ladder (logit),0.00044333581622096516,-0.00014308143733754441,35,1,39,0.9099259416588849,0.9099259416588849
P-SMT,PSTE+SMOTE--Tomek,0.0013295128500540572,0.0005070258806707528,43,0,32,0.19303357829106255,0.3860671565821251
P-BSM,PSTE+Borderline-SMOTE,0.0019774975750779006,0.0005829841900769628,41,0,34,0.03870231674182675,0.154809266967307
P-SM,PSTE+SMOTE,0.002124022867623115,0.0010524007582830563,51,0,24,0.004611068421631857,0.032277478951423
P-ADA,PSTE+ADASYN,0.0019790331258114583,0.0013492139061362929,45,0,30,0.008092181753423106,0.04855309052053863
P-KM,PSTE+KMeans-SMOTE,0.004829925799859688,0.0007184280640996077,44,0,31,0.020297385738033597,0.10148692869016798
P-DS,PSTE+DeepSMOTE,0.004249223866974765,0.0011640495217742908,50,0,25,0.00047746854422400597,0.004297216898016053
P-MG,PSTE+MGVAE,0.00463320651811794,0.0014911462450030166,45,0,30,0.001693571612640736,0.013548572901125887
P-ROS,PSTE+ROS,0.004610335864541772,0.0016374835532579901,50,0,25,1.545260604349585e-05,0.00016997866647845437
BRF,Balanced Random Forest,0.010434258748529067,0.0037967810467924856,41,0,34,0.1276485010161798,0.3829455030485394
None,Original prior,0.0060771060802277625,0.003018663564882118,58,0,17,8.248263326236009e-07,1.0722742324106813e-05
OS-DS,DeepSMOTE,0.008922711562651831,0.005021382240689043,59,0,16,3.9370849855511967e-07,5.511918979771675e-06
OS-FOL,Fast Outward Ladder,0.011336966405317405,0.005555555555555536,54,0,21,8.847071704372732e-06,0.00010616486045247279
OS-MG,MGVAE,0.018967218646760205,0.009424847399960523,58,0,17,1.1590563067057968e-08,1.738584460058695e-07
OS-ROS,ROS,0.021053413133242514,0.01155061382710354,63,0,12,2.307987591597135e-10,4.154377664874843e-09
Easy,EasyEnsemble,0.030549431019487976,0.022703395242730018,56,0,19,0.0001145776299314279,0.001145776299314279
OS-KM,KMeans-SMOTE,0.023868907025793182,0.009816433826346782,64,0,11,1.2838031187930553e-10,2.5676062375861106e-09
OS-SMT,SMOTE--Tomek,0.020482465972906,0.01213237379904053,65,0,10,2.3884230291889263e-10,4.154377664874843e-09
OS-BSM,Borderline-SMOTE,0.023434937979754725,0.014137769531093913,61,0,14,2.4555124640692147e-09,3.9288199425107434e-08
OS-SM,SMOTE,0.02035953863345493,0.01209326778926162,68,0,7,3.244593450446946e-11,6.813646245938587e-10
BB,Balanced Bagging,0.030305083807684038,0.02031910359500344,63,0,12,1.329161164796056e-10,2.5676062375861106e-09
OS-ADA,ADASYN,0.028134862510218725,0.017125086278089174,69,0,6,4.411918426246165e-13,1.0147412380366179e-11
RUS,RUSBoost,0.08986545734758838,0.08260760923637378,67,0,8,7.306812225888249e-12,1.6074986896954149e-10
