dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.4259648660576426,0.421208868482679,0.41264942246821473,0.39558375234473353,0.4088630122377941,0.4066541834121751,0.41837270548682676,0.42148731270204204,0.4189860742720022,0.4258933525720992,0.4277301496247367,0.4213677402897416,0.43096299010228095,0.42159765648643266,0.4266422777539279,0.427738417668349,0.42687098303521614,0.4282610768143916,0.467323016251232,0.39847330443656215,0.5283827493275393,0.42034396381452316
diabetes,0.7024128648611485,0.6979137610937575,0.6832729564519948,0.6890151020602758,0.682705955727209,0.6788785339068305,0.6794026203428928,0.6892832148433025,0.6798615580659999,0.6843598783843844,0.6972687832903133,0.7008589072834792,0.6993412428969108,0.6965813333609084,0.6951128964185445,0.7018556384514874,0.695190265264294,0.7007741263233005,0.7021856531384186,0.7028229133725503,0.7176246357526149,0.6862538295496264
ecoli,0.8491476905853551,0.8704704419081065,0.8327307904919845,0.8266613656560978,0.8481011608623549,0.7832938249926836,0.8192691432068079,0.8739668977739653,0.7943593307969954,0.9049133301745242,0.8804061529632204,0.8657482169246875,0.8772074997645674,0.8885472697237403,0.866983480864078,0.8817761881567852,0.8413193124957831,0.8770874523486464,0.9221584896584897,0.8553497510115158,0.9218939393939394,0.7439039786669286
ionosphere,0.9583091674417609,0.9550805362400481,0.945782973713839,0.9532106673152191,0.9480242656398788,0.9381279750918733,0.9441302891409415,0.9563816567216021,0.9621413794402198,0.9536263424576453,0.959355825625017,0.9571657984332048,0.9599733941620003,0.9585627785429948,0.9607530628562517,0.961192989955276,0.9619701907487844,0.9597476071204116,0.9695146531923264,0.943657428294554,0.959692393474718,0.959836994744209
keel-ecoli2,0.8787357183098264,0.8803400142145867,0.8656942846612753,0.845044031882985,0.8765446359970331,0.8539961990015763,0.8727273189902622,0.8508543040441318,0.8518147618314537,0.8577285039980254,0.8922768707132944,0.8828484718832247,0.8939863677919851,0.8921480535339809,0.8948266639654748,0.8907474857049815,0.8892994249698795,0.8887322303791899,0.9098590074669631,0.8859143149779511,0.884923452052593,0.8563691648179418
keel-ecoli3,0.7513351123068458,0.650373031118095,0.6551578770811807,0.6235044804731312,0.6007252149207564,0.6414034514126857,0.6554046906169559,0.7076876583144117,0.7138035970384884,0.6626175768963791,0.7327612987847468,0.7258259478043365,0.7250094185181035,0.746286384670735,0.7267534411581171,0.7484194131126783,0.7531134939464735,0.7607037837982181,0.6466807425862673,0.6329654765942203,0.6522575787113603,0.6276863645307664
keel-glass2,0.40682427722518966,0.40971803807342605,0.5101508798219324,0.4670358312044824,0.3827225400735641,0.4434819372416271,0.49683760708474123,0.41574347251208815,0.4160305077291437,0.48233515471647564,0.45362978430363005,0.47179209547686185,0.38983693178801876,0.45387724551668895,0.4703433584711696,0.4399334886546953,0.44956525976780554,0.49250895820587287,0.3247279572279572,0.4037998007992848,0.37391470858576115,0.2582759538458423
keel-glass6,0.9177519379844962,0.9144763247088828,0.9194050135910601,0.9067571059431524,0.919881118020653,0.8960588162913744,0.8784309259503058,0.902725119411166,0.9248018389878855,0.9258335850196315,0.922639704366874,0.9156395813202393,0.9178894189359306,0.9306279425955069,0.9163722680994376,0.9219050621621001,0.922843247734432,0.9284794997830493,0.9465087933508987,0.9361886661097187,0.9350944085154611,0.8920572502432969
keel-page-blocks0,0.8930564560523969,0.8805412389190692,0.872261231134027,0.8655510383348916,0.8617667956671663,0.8431768073921264,0.8421020796386426,0.8754280374375403,0.897758711929019,0.8726896868284518,0.8960903870059916,0.8943678902005959,0.8951760627237279,0.8986801773033953,0.8971385294819331,0.8978342131523878,0.9067224927911065,0.8994427090348225,0.8934998813494794,0.8684993160135746,0.8230608191599714,0.7783857775871793
keel-vehicle1,0.6452763172845777,0.6387352098356955,0.6225354437405721,0.6280039836104211,0.6350175765337707,0.6089509684870634,0.6037503950009705,0.6230368132511924,0.603521257578848,0.6232410031502732,0.6471529074485273,0.6469300913525505,0.6470912171980951,0.643513130276602,0.6427120677211925,0.643964312074725,0.6399310081967082,0.6502832319731143,0.6471834495964669,0.643060646983239,0.5942142709358844,0.5495598939211013
