dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.03479777177574615,0.035043309730873794,0.03463251426536447,0.04268387664640114,0.03756213439451512,0.0361390871075943,0.03938057693946477,0.035463851004255004,0.03595149778305611,0.045326242149503974,0.028275851205416723,0.03314060033275108,0.029894859646741764,0.03468771724667711,0.029880915996996934,0.03188079694402535,0.03113731973761686,0.031057834382667123,0.03422985910844901,0.03135477487311683,0.04650230393454416,0.06510558128624551
diabetes,0.03472968190495432,0.03443102614182435,0.029157660559870787,0.041476281291344765,0.034937895242027374,0.032079252365127424,0.030916657210543562,0.04455044806284064,0.03967046144343484,0.04224703625054431,0.032946662085224225,0.036600256248749304,0.033164376283930784,0.03195768653380579,0.030531136510029665,0.03507508703279817,0.033354588143697725,0.03276482380937232,0.027800315954090302,0.04399652657183836,0.03981690017147693,0.03810861956247953
ecoli,0.123354445091243,0.14771794609627287,0.1785063481060571,0.16874644248571213,0.17036166239573067,0.206436672460779,0.17140202283548947,0.14743075220597873,0.17698533911260408,0.10427812274231119,0.11251578239144473,0.1283590810129936,0.11061033372053601,0.10403566465874443,0.11912297438243453,0.10864755351983613,0.14402602658579927,0.10655502182537555,0.10041707143620993,0.1353295396502796,0.0866882002204319,0.14761417142158995
ionosphere,0.02520662112889496,0.022841555873663585,0.029490408608015124,0.02242805710386336,0.03366588632293306,0.030045121926034136,0.0309366263991049,0.02885297603602505,0.021108023051549872,0.024402951396647807,0.025477534370452286,0.024451951356757092,0.02348524621306911,0.02526190176950609,0.025484350797817062,0.024260644704115167,0.023501579743100236,0.02598545215855275,0.018306542733560856,0.02941180411480712,0.025346289424288262,0.017945779500877928
keel-ecoli2,0.0725132525622649,0.07051238552983029,0.07796605660486548,0.07671389382325002,0.07803158465732517,0.07776966217504305,0.08180360388574665,0.08325499254052278,0.09242930645776896,0.07869227070242565,0.06219951295923684,0.06583900399316,0.06660090752331693,0.06449723628258665,0.06663300849517141,0.06809944087830512,0.06795289941400094,0.06448597790375779,0.0538251014920736,0.06645791707602422,0.07095027690559351,0.08016554936541334
keel-ecoli3,0.11844109061492204,0.1548763907551504,0.15707778938341105,0.16501910186348304,0.15118881774224804,0.15730619026722564,0.15090781402452882,0.1793034725317873,0.1647429805556151,0.18860702473741647,0.1489657165517285,0.1277809945185181,0.13685818716749107,0.12062607963320254,0.13475892029265546,0.13003605699150064,0.12237534308907162,0.1331190224179548,0.13411886402498333,0.1412604895464563,0.14091657528590643,0.1820907835028658
keel-glass2,0.18379942721658774,0.18315057018992795,0.19877540164109103,0.22862524530560835,0.20074320195985698,0.17739868892805982,0.19939772963580055,0.22405770123012897,0.221869965525375,0.19470302454999155,0.19216446521348357,0.2158894271282804,0.16489590642368737,0.1916308104982258,0.18836264184587484,0.22270944420018546,0.2071523000311406,0.19243791795527707,0.1122385169180838,0.18939900736714932,0.1574334138883902,0.15059500469951687
keel-glass6,0.07012689705392355,0.06025245432236354,0.0729536713388125,0.059093768976264734,0.06452334382284224,0.075043262415407,0.11098151805839603,0.07410850741989096,0.0659053250870292,0.0651519877924073,0.06468769823922581,0.0651411029952235,0.0659576778958038,0.06180080220232116,0.06575549682690009,0.06062585788488271,0.06538069742638974,0.06503594193758312,0.05617289314283766,0.053486421058951863,0.05753099185755506,0.0851192117657377
keel-page-blocks0,0.02532550022916226,0.02255274207574301,0.018649403669974838,0.02274818137681973,0.022740645605625436,0.01724995310807065,0.02434190593085161,0.0217708298113043,0.021651133279217246,0.019345039943253227,0.020203809093449904,0.021672012201302313,0.021454521611517913,0.016879342713294915,0.01846753912117412,0.02101254514106614,0.01910945175987203,0.017529560497313135,0.021722002193265838,0.025260789806786425,0.019655697088376303,0.05937029392764431
keel-vehicle1,0.04357189405848738,0.050978783257648964,0.0626714499772639,0.04983633444251691,0.0545851719167953,0.07416639432538828,0.07194854856417003,0.05313918594653825,0.05336190776598975,0.06524340579497775,0.05194301508109561,0.03823057506099705,0.04110975405687733,0.04933420847020191,0.042538713719441595,0.04068785731239784,0.04259179282953051,0.04994461194945814,0.051292002018783756,0.04817417046820636,0.06848019235942229,0.0585147009263808
keel-yeast1,0.04547540702254332,0.046524640549888356,0.04260522722339733,0.04116845302247449,0.04132795764852049,0.04031148050999541,0.04954330966992924,0.04368651731201395,0.04525594212856592,0.04260187548157917,0.042545472104190483,0.043303961543887846,0.041999033406275414,0.04245809873123737,0.04122400879002676,0.04098664537508694,0.04325165522759854,0.04518575756750372,0.046346216325326886,0.040227552450312655,0.041389870778379946,0.04552846835096249
keel-yeast3,0.06915520474486475,0.06211129342088514,0.07346442114549234,0.05537449477824598,0.0664568383805267,0.0553165791188958,0.05097856668185451,0.07657390391826159,0.0632278330992053,0.06957154374751194,0.07207747010353473,0.0727884409567309,0.07088683004285588,0.06608414964236795,0.061530092986049736,0.08034114558463219,0.0738215383400701,0.07592664831530396,0.05857134574061302,0.05999250962499764,0.06494648458489335,0.05968380013675492
keel-yeast5,0.1027954846868591,0.1409402456397915,0.16139987128128833,0.15561984013308214,0.15843264101999277,0.1691221999469632,0.1699961704296246,0.1259889981108123,0.098490175816338,0.16040876426676248,0.12279673698386334,0.11660175986952305,0.10974162621001096,0.12464842409615914,0.13013300397240168,0.09422109673002911,0.09981826855919178,0.11278717886198564,0.11521109882573174,0.18157707347888977,0.15698488138790267,0.16286981601587067
openml-1068-pc1,0.09129934195052937,0.09135499561193212,0.09424760301875207,0.08461445826215681,0.10435900767456502,0.10398904187699799,0.10471095578583403,0.08021206235195066,0.08998036932736284,0.0941320891649314,0.08173532428047273,0.09188821242201578,0.08325127141539598,0.09104562706448359,0.08697789230371868,0.08355705669935194,0.09454907417571885,0.09272840615315057,0.10099939659534747,0.09543622402292042,0.10650161150745867,0.07492153547948778
openml-1487-ozone-level-8hr,0.06480595737618552,0.0799134481145785,0.08320388960976617,0.07489167776512,0.06327588696903465,0.05930115152382773,0.06296526812400963,0.05687284035766555,0.07010559721724353,0.08969199671619434,0.07799736198009213,0.07509301191469676,0.08246871190917403,0.07570214977002589,0.07651248213253094,0.0931924918246825,0.08339848909219857,0.07933628851659442,0.07523177502388177,0.09478350334893189,0.07155325558051298,0.08580995130184317
openml-40691-wine-quality-red,0.05019709806571811,0.0579248174896321,0.05596817415913806,0.05813561878241732,0.0658888745873014,0.05394289911779791,0.06410224350024277,0.04660957456957225,0.05497424684109077,0.0626302422347844,0.06026658186404897,0.051918165810343156,0.058867817739503156,0.0627928823186477,0.06704183547186744,0.049239741983554124,0.04302458767639248,0.049934172515518516,0.06597635760154448,0.059510103619143606,0.05732206014751638,0.04423153020412345
