dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.3653030530772214,0.362072221872685,0.36756873801647455,0.3583643611675634,0.3640424163416435,0.35968505712086035,0.3697939204538821,0.3749711949639583,0.3704585946371772,0.37435678519543925,0.37790266304391573,0.374376292988376,0.3762114146622752,0.38288439761867604,0.3832248137602771,0.3780810752487593,0.3722202659629069,0.37826136309170055,0.467323016251232,0.39847330443656215,0.5283827493275393,0.42034396381452316
diabetes,0.6877510035872286,0.6936181745536434,0.6850223065565676,0.6950782686669578,0.6940645354983132,0.6808877964782304,0.6857219172377939,0.6889808059290998,0.6900575884894677,0.6887472667157094,0.6900659955003047,0.6930824629901108,0.6902536369341908,0.6908482576469642,0.6921326481778413,0.6956562622888692,0.6911901489344189,0.6890339337406017,0.7021856531384186,0.7028229133725503,0.7176246357526149,0.6862538295496264
ecoli,0.9644312169312169,0.9475,0.9316269841269841,0.9457275132275133,0.960079365079365,0.9158621933621933,0.9051082251082251,0.9634126984126984,0.9369733044733045,0.9539682539682539,0.9551719576719577,0.9609259259259259,0.9609259259259259,0.9486904761904762,0.9527934102934102,0.9592328042328042,0.9563251563251564,0.9605952380952381,0.9221584896584897,0.8553497510115158,0.9218939393939394,0.7439039786669286
ionosphere,0.9809995992103274,0.9802013618417236,0.9756739062190539,0.9808692378145452,0.9746839675041149,0.9753734673999834,0.9783600602369785,0.9806529724993601,0.9691809749301122,0.9773858945550329,0.9806557814915947,0.9812227724268653,0.9813742624203498,0.9794308233551781,0.9807484547155958,0.9808553724490493,0.9801642149994068,0.9809214023057629,0.9695146531923264,0.943657428294554,0.959692393474718,0.959836994744209
keel-ecoli2,0.9157059974058893,0.9131341159767904,0.9099038416880924,0.9156446347421846,0.9165226038990564,0.9061400861705897,0.9076390021576476,0.913088917165922,0.9085412882628364,0.9180026166553812,0.9150866088909996,0.918786321261272,0.9186568929677111,0.91595423267371,0.9133201858464216,0.9161202969963249,0.9171576556073674,0.9186544251622417,0.9098590074669631,0.8859143149779511,0.884923452052593,0.8563691648179418
keel-ecoli3,0.7043306811299763,0.7092000012903374,0.7076536846907285,0.7030569572149817,0.6807586290122921,0.6730416850801778,0.6708906230435773,0.7051811870379745,0.6922607972946461,0.6816756375596491,0.7092024846856779,0.7085353983292724,0.7150925695603566,0.7061431191391161,0.6951485352631006,0.7130959069079511,0.7090919080355302,0.7136445261323633,0.6466807425862673,0.6329654765942203,0.6522575787113603,0.6276863645307664
keel-glass2,0.5152454270875323,0.504131821719541,0.5267924939983764,0.5466530501089325,0.4993433625580168,0.5211992945326279,0.5102037903998687,0.5307426532445881,0.48925448228337803,0.5588198838198839,0.5393364315423138,0.5028445981406507,0.4972160600121126,0.5378196150254974,0.5279165092542286,0.5183209074875742,0.5245336093788107,0.5399454687612583,0.3247279572279572,0.4037998007992848,0.37391470858576115,0.2582759538458423
keel-glass6,0.9464898609016256,0.9533292633292633,0.9343333389263623,0.9538319088319087,0.9513516113516114,0.9322866947866948,0.9428466838931955,0.9436014248485645,0.9545823552092901,0.9442352092352092,0.9466728913787736,0.9489877061935885,0.9505704099821747,0.945958975664858,0.9485800582859406,0.9513013838013838,0.9526517273576097,0.9504439351498174,0.9465087933508987,0.9361886661097187,0.9350944085154611,0.8920572502432969
keel-page-blocks0,0.8864803823847125,0.8823285362999332,0.8854280153983916,0.8830841814284695,0.8809250664062798,0.8804259475497737,0.8749488046224275,0.8799421570443946,0.8828814216173438,0.8826944405669743,0.8901778924823848,0.8907897953678751,0.8908650399566661,0.8925013047997469,0.8912864223121103,0.8898676479914926,0.8934547411190922,0.8921004973143432,0.8934998813494794,0.8684993160135746,0.8230608191599714,0.7783857775871793
keel-vehicle1,0.6370401691228301,0.6472240138801308,0.6415602766871237,0.6400318068337939,0.6447383451100686,0.6488175792476135,0.6313966041187,0.6210166277204846,0.621187622455339,0.6461235681863156,0.6507800206605178,0.6500231935847148,0.6488600657168903,0.6463070230492549,0.6475718150140963,0.6439024670316614,0.6441370620347222,0.6524616913403423,0.6471834495964669,0.643060646983239,0.5942142709358844,0.5495598939211013
keel-yeast1,0.6438973413831459,0.6404177492595194,0.6402415723154606,0.6397914111903821,0.6399741497016886,0.6286623418926222,0.6315223441929271,0.6453123694997541,0.6396188408785854,0.6369216155993693,0.640220943864548,0.6384828008381196,0.6395388196777666,0.6397226342372877,0.6386488347791821,0.6397590920205705,0.6427536478255108,0.6394781816215194,0.6398481447668565,0.6276972893574041,0.612651100208247,0.5313268619497473
keel-yeast3,0.8415606957736976,0.8387540732384385,0.8340316559004362,0.8379740469189862,0.8272977434089088,0.8303647493561243,0.8213454724685545,0.8363833723857901,0.8331089063912767,0.8310872661606568,0.8450107779856176,0.8470573874125258,0.8429335819771495,0.8447477156177368,0.8445380732052183,0.847528197901302,0.8447014554295216,0.8465984172568024,0.84620080179088,0.8069864647405101,0.8269761771430756,0.7773110339306302
keel-yeast5,0.8079506134130747,0.8080106993197153,0.7907202124698031,0.8140177845849889,0.7927241172919041,0.8005288381629316,0.7892298946482813,0.8321844556299097,0.7980345608744732,0.8327802270405246,0.8072617228450562,0.8140299177217841,0.8119226720843682,0.8125256548704262,0.8175664127761609,0.825683353147813,0.8084116341563229,0.8201492376293065,0.7949354396780868,0.752978977268193,0.698878788116515,0.6563431664621658
openml-1068-pc1,0.40689225976791565,0.3887759159101481,0.41605840414488443,0.38994453484353264,0.413482982037458,0.4078502368166808,0.4230884841661004,0.42531890977000425,0.3710877147663175,0.41288045726382966,0.4424478305663635,0.4318650816104041,0.44706370182742355,0.42589422141904903,0.4441668491229296,0.4500187091046734,0.41053920393457044,0.4250984939793771,0.42802976693612427,0.4233161943121069,0.3656164776571499,0.22040818184789876
openml-1487-ozone-level-8hr,0.5411375139033825,0.5425980134222022,0.5281292543884711,0.5327827903287051,0.479592685058039,0.5171156004859988,0.5143164386364721,0.5343568370329219,0.4999311909173606,0.5435526331218185,0.5559669308718861,0.5584340169496907,0.5445835976390762,0.5595549742701207,0.5580007213558843,0.557446521219975,0.5424625653605855,0.5657898430486467,0.48427891438181586,0.44958858737078355,0.4925446432223125,0.34473301538687956
openml-40691-wine-quality-red,0.19908459846271312,0.19087272540501043,0.16419170832959995,0.1884103677252104,0.17637734638084515,0.16885108085448572,0.21806584382323235,0.2088216755728676,0.20019514340401873,0.210299353217066,0.19245783939049327,0.18883230475631374,0.19202098409294407,0.20112185510214028,0.21295195953931,0.2005354512352841,0.1907101594345229,0.19816644590646038,0.1493646226774824,0.14851971985244963,0.1421092343836271,0.0789624453646363
sonar,0.96219563709845,0.9613122959001447,0.9640000839717565,0.9646643437282607,0.9586749427669174,0.9616593980593001,0.959794336507062,0.9652636598566855,0.9633610157637212,0.963431388656751,0.958890330502054,0.9601266808800754,0.9583943794945639,0.9587298903384174,0.9607009316235857,0.958277047473019,0.9601715779179468,0.9594829266293505,0.9346339409597758,0.8917002322570167,0.9148831772768197,0.9406859013583179
vehicle,0.9878514132106048,0.9890685574024384,0.9879341939357583,0.9870841371939757,0.9878946602746113,0.9878364081127771,0.9898465201675583,0.9873585842052063,0.984455367231615,0.9865267802908056,0.9888741063386797,0.9887760834014221,0.9886646235496748,0.9894251811166579,0.9901443379373608,0.9890648409825624,0.9877333961802671,0.988421958930509,0.9764999415047605,0.9734998535699219,0.9684260960298593,0.9652396183387089
