dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.03154804788771434,0.03320369132313119,0.03189191000006501,0.033431800776032465,0.033546882840724046,0.03252704217660921,0.0372554272930303,0.03686178951453656,0.029514543634268597,0.03327977351767534,0.03343106355055367,0.03589745373619478,0.04044338235721194,0.041378677510866324,0.03701854603265364,0.035028579158729756,0.03249356537167844,0.03561060441972631,0.03422985910844901,0.03135477487311683,0.04650230393454416,0.06510558128624551
diabetes,0.025546066238136014,0.0290650228486104,0.019506996961599306,0.02265131644181203,0.02040401963351327,0.0234937774809286,0.023152162325980455,0.03202328590735278,0.021260213266255684,0.020772462748952347,0.024197798045634364,0.01992153751283579,0.026171301412825473,0.025480188092198885,0.018702948718145557,0.02418616944458427,0.03034586205794011,0.02217538136071249,0.027800315954090302,0.04399652657183836,0.03981690017147693,0.03810861956247953
ecoli,0.05514519170763963,0.0761779193521679,0.09025574723095062,0.07718005735864851,0.06203359609595126,0.09411341947800121,0.11076497827499157,0.0450507817944065,0.07351331515349353,0.05491588944081979,0.06427654827201239,0.05558002106797476,0.05558002106797476,0.06497444843442321,0.06594144826881242,0.055025505653476595,0.06265965499572516,0.05664831707135283,0.10041707143620993,0.1353295396502796,0.0866882002204319,0.14761417142158995
ionosphere,0.009709811042699181,0.01064299937218532,0.014206683951359692,0.010071673255873522,0.01587558429180741,0.01735019000549878,0.010745185982003708,0.010986768750760774,0.01930595885675985,0.014651899949170525,0.009805078389445034,0.009660835755942428,0.00865800289012301,0.010526853649944039,0.01093494719967458,0.010044254756534091,0.00972960418852228,0.010846550939327255,0.018306542733560856,0.02941180411480712,0.025346289424288262,0.017945779500877928
keel-ecoli2,0.05611136760176839,0.0556131835585069,0.05517404060094206,0.057642817404622584,0.05262038687671954,0.060174337694981136,0.055003958706932636,0.05206429525078893,0.06173637044146955,0.04945358249780112,0.05160207004443004,0.050006831478522085,0.051477828597796225,0.052910250840155194,0.05388142826119643,0.050291692865200084,0.050697980734379214,0.051509429773932226,0.0538251014920736,0.06645791707602422,0.07095027690559351,0.08016554936541334
keel-ecoli3,0.15496955073854196,0.15240534717425028,0.15294183337580522,0.16142526316036201,0.13620174226075046,0.15861590310422738,0.15435580041730781,0.1673362287651567,0.16865399381036275,0.179106160952161,0.16564926606877392,0.16049610730043087,0.15996407928285325,0.16447470010485543,0.1548054286561024,0.15779261556570537,0.16111094359235362,0.16956773854535015,0.13411886402498333,0.1412604895464563,0.14091657528590643,0.1820907835028658
keel-glass2,0.18354767325880747,0.19191143811128603,0.207966093867634,0.2136090761524719,0.1976560819911637,0.20602320597719873,0.21489663180569424,0.2271278153059609,0.1774346978615629,0.20188783629400261,0.22230131235112935,0.18863989604863615,0.18380855572935012,0.20369064916539217,0.2187053318847356,0.19496270905659022,0.20123886578074573,0.2219784526818138,0.1122385169180838,0.18939900736714932,0.1574334138883902,0.15059500469951687
keel-glass6,0.054714602610203535,0.04644480655685854,0.0597900384655582,0.04397255649594489,0.048961458051242114,0.05387131544458352,0.06116940405961439,0.049407746307597124,0.05103444148782587,0.05634174966651536,0.05390349117163814,0.05132970166071935,0.04985840186369696,0.05027424008902794,0.04687713103685279,0.04266334551001826,0.050246345173778954,0.05011622546777253,0.05617289314283766,0.053486421058951863,0.05753099185755506,0.0851192117657377
keel-page-blocks0,0.022804634166706198,0.024005608080992596,0.020085002359817847,0.02299289742558653,0.022407661134230886,0.019359471719433276,0.017615515396987535,0.024937292931090795,0.020304087467817297,0.019300832520213522,0.01921697413124404,0.021064679384422143,0.020118256805034852,0.020193133303866906,0.020379096229120604,0.0204038150809158,0.01922702269479071,0.01832007611900173,0.021722002193265838,0.025260789806786425,0.019655697088376303,0.05937029392764431
keel-vehicle1,0.046760007652057754,0.04647175070186755,0.049676164427957824,0.05587358165976789,0.05362000031396202,0.048602574805063053,0.044554735763869646,0.05445548792086225,0.051898973518873195,0.05468598514016193,0.04800783102535203,0.04794751452237614,0.04882868762718259,0.04838532617784725,0.046498970666138444,0.05314479669972251,0.05131621324155722,0.05020985395689287,0.051292002018783756,0.04817417046820636,0.06848019235942229,0.0585147009263808
keel-yeast1,0.040455704650105125,0.03991122680926432,0.03921559995834325,0.0454242220309278,0.03719147235160282,0.040008608117878305,0.035599229453538814,0.03842733248460852,0.04090848174700525,0.04542151639738903,0.042784076681111026,0.04052247045640096,0.04160964179462052,0.04175847550776626,0.03800090100601968,0.038204471344381145,0.03966256887581685,0.04242544388235865,0.046346216325326886,0.040227552450312655,0.041389870778379946,0.04552846835096249
keel-yeast3,0.07040592179883418,0.07136757417657227,0.06555766222955212,0.06939241122517421,0.07146806116869583,0.06352278909922544,0.0602933341207197,0.06742790714205327,0.06921035308497624,0.06626452270552813,0.06486671049310884,0.06770928682676879,0.065696956441645,0.06626777103019788,0.06363265096470083,0.06747062343165126,0.06619986287333433,0.06543639638660087,0.05857134574061302,0.05999250962499764,0.06494648458489335,0.05968380013675492
keel-yeast5,0.12288232072646216,0.11157790837308901,0.12403354188344402,0.11948345357668021,0.1278487330498976,0.11448329072050535,0.12182030672035432,0.10859873653390789,0.12066438718464159,0.10197166212644565,0.11601511177487356,0.10856265181262618,0.11570223890204963,0.10893438844771172,0.10434410437688511,0.09890113741651634,0.12307996917395608,0.10826627528217252,0.11521109882573174,0.18157707347888977,0.15698488138790267,0.16286981601587067
openml-1068-pc1,0.07427976132037185,0.06752813377668342,0.07132211389582135,0.08104533784768155,0.09289627542747668,0.07524591666015763,0.07585059696744254,0.07789532830216803,0.07761483969595685,0.07723638789066337,0.0776380060808242,0.08178379693235725,0.08433574545139938,0.07371845732138164,0.07776197685695196,0.07584548194876499,0.08694656448327116,0.07356462103331309,0.10099939659534747,0.09543622402292042,0.10650161150745867,0.07492153547948778
openml-1487-ozone-level-8hr,0.0714665118099608,0.07762287712593412,0.0839008025601301,0.07155974362331892,0.08321467111413523,0.08425278035063566,0.0807830245455972,0.073214232832029,0.08272256923199311,0.07164880480756339,0.07604211268689229,0.07092154742835545,0.06627794091952526,0.07512658718409504,0.07692862408676919,0.07360238854657411,0.07710568789476736,0.06664269322747113,0.07523177502388177,0.09478350334893189,0.07155325558051298,0.08580995130184317
openml-40691-wine-quality-red,0.05830319449710795,0.07116435002811171,0.07175431658944688,0.055879488407986504,0.08048926386380537,0.06956682216801738,0.09411082495407554,0.07934798707544465,0.06019132917100089,0.0918775792228614,0.07199970869064679,0.05798005557981039,0.055366364826086374,0.06906469308663733,0.07300545625353344,0.06302051194560071,0.06211739456062283,0.06678573300810171,0.06597635760154448,0.059510103619143606,0.05732206014751638,0.04423153020412345
sonar,0.023856109603968317,0.019486499546515764,0.027424113062405275,0.019461684294890275,0.023368012155106067,0.023884069876798978,0.023303141765784612,0.022166995775211917,0.01985522063489496,0.02402395633854044,0.02714743695886855,0.02826340635580624,0.029220955050523287,0.029102254036081836,0.026269404107167136,0.0292079132285826,0.021480746162500487,0.02689799201871347,0.028337097044867785,0.044704582881808556,0.04579933037165323,0.038363442612583835
