dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.40753544744956066,0.4029445966257787,0.4008071324444561,0.38344314135709623,0.3969006624572724,0.39207254563758914,0.4026028680115371,0.40904203723945387,0.4055056125871684,0.41166384253095567,0.41378944186537137,0.40795202408523834,0.4134230117592132,0.4120247200743728,0.4150079385469921,0.4133025239614462,0.4118526669648806,0.41473058749026187,0.467323016251232,0.39847330443656215,0.5283827493275393,0.42034396381452316
diabetes,0.6938052161685475,0.6954244238755228,0.6830049179796014,0.691644711969367,0.6889157564215579,0.6803811591967291,0.6774211555733433,0.6909178214570362,0.6873189571679595,0.6852594874146758,0.695544581724272,0.697971841780955,0.696613619910847,0.6954583775412918,0.6949463414945821,0.7011740652151577,0.6967849477492495,0.6969944182636502,0.7021856531384187,0.7028229133725503,0.7176246357526149,0.6862538295496265
ecoli,0.9102392315517864,0.9129654559446774,0.8908132617336597,0.8882573286575335,0.9056355382226029,0.8560594616257479,0.8622944180806572,0.9183315246005471,0.8873886562012111,0.9269684645555292,0.9236054019577579,0.9172511693099928,0.9204756921613814,0.9235532006120241,0.9125402688338012,0.9265929445531437,0.9065472744394313,0.9265644241514889,0.9221584896584896,0.8553497510115157,0.9218939393939394,0.7439039786669287
ionosphere,0.9705532802638457,0.9683334799970945,0.963193058450634,0.9682524066550651,0.9626966090992248,0.9590810987653938,0.9627041821101663,0.9680659183407992,0.9675488119651047,0.9663765825221282,0.9709198732727049,0.970560095489931,0.9711260280525507,0.970339176867194,0.9714099640412605,0.9713604322696615,0.9717831078066976,0.971640991515035,0.9695146531923263,0.943657428294554,0.959692393474718,0.959836994744209
keel-ecoli2,0.8998159902659776,0.9005114830376904,0.894014490903987,0.8903358237291236,0.9030840329297092,0.887095653636565,0.896021706529245,0.8890472482089316,0.888602183633003,0.8965337337487091,0.9054225995718848,0.9035423539179553,0.9081322758044906,0.905579936937232,0.9064168844657952,0.9042162294315672,0.9037341510480068,0.9057974056969076,0.9098590074669631,0.8859143149779513,0.884923452052593,0.8563691648179418
keel-ecoli3,0.7263846819626497,0.6653648454975934,0.6766652754396283,0.6618328726996724,0.6375166954301911,0.6501565183916976,0.645607472613823,0.7094370776068916,0.707628366113089,0.6748685288140536,0.7194922960170642,0.7125478516660319,0.7181702396365215,0.7210551205667666,0.7121578024636457,0.7264727280082587,0.725500749922705,0.7343312067991417,0.6466807425862673,0.6329654765942203,0.6522575787113601,0.6276863645307664
keel-glass2,0.45707106941660924,0.44835307259718027,0.5067325912471251,0.4852491199572978,0.4420420618654607,0.47787231884777104,0.4970102266024085,0.47105269417613704,0.4466808356684443,0.5063706424421939,0.49017033255998044,0.47313450556890135,0.4390644588376282,0.49330809133823256,0.49038510187361195,0.47081165803881636,0.46915769932316026,0.5082860013881033,0.3247279572279572,0.4037998007992848,0.37391470858576115,0.2582759538458423
keel-glass6,0.9370637304498634,0.9377227559979497,0.9278509350590973,0.9338724212306423,0.9404466721908583,0.9170058984183471,0.9177604783820773,0.9281283000623238,0.9448968605698153,0.933974839401196,0.9408298679742186,0.9399625892581026,0.9412401030595284,0.942806580766357,0.9390391895168735,0.9417794101003836,0.944620329387979,0.9439301366685748,0.9465087933508985,0.9361886661097187,0.935094408515461,0.8920572502432967
keel-page-blocks0,0.8946672701184214,0.8877002498845826,0.8839757944970041,0.8810212959845425,0.8784308326734235,0.8685362124628647,0.8654702493682945,0.8834490245248529,0.8967577085825292,0.8825320168113988,0.8975579398131013,0.8974375166534684,0.8973288084610216,0.9004211005455895,0.8991245233796514,0.8981169938098825,0.9037572249623286,0.9000692134841202,0.8934998813494794,0.8684993160135746,0.8230608191599714,0.7783857775871793
keel-vehicle1,0.6418607679835224,0.6440350270586803,0.6352209101135402,0.6406827614711914,0.6419830823110686,0.6318985907627857,0.617741659240978,0.6274987872044301,0.6124435326065996,0.6370665679513241,0.6496547909478323,0.6503843306661834,0.6497725675496803,0.647276730504392,0.6470985444338317,0.6456650490683226,0.6437267021373343,0.6534790323537298,0.6471834495964668,0.643060646983239,0.5942142709358844,0.5495598939211013
keel-yeast1,0.639779669066263,0.636573758623001,0.6337874896524048,0.631944893311796,0.6357822086652056,0.6268716447663251,0.6258453975936156,0.6387404236787974,0.6377357308387593,0.6304278861581553,0.6374921083438545,0.6371961936261341,0.6383779047313755,0.6392529046645544,0.6377829901750748,0.6373797059706219,0.6385280373878953,0.6387581929347723,0.6398481447668564,0.6276972893574042,0.6126511002082471,0.5313268619497472
keel-yeast3,0.832694714135659,0.8304671066841228,0.8104502042021797,0.8215649393352303,0.8095794645481651,0.8005373592647552,0.7891365998398644,0.822660258844825,0.8238083421723739,0.8131989846289018,0.8343584964815501,0.8338253673730732,0.8340589848838051,0.8354703489967946,0.8333244924230789,0.8339472211928896,0.8340806652323901,0.8340178839483343,0.8462008017908801,0.8069864647405101,0.8269761771430756,0.7773110339306301
keel-yeast5,0.8127261263886919,0.8070207080719658,0.7822378557148069,0.7941507266592923,0.7858508120176436,0.7883887961828903,0.7868820649353624,0.8212638500959784,0.8032383366508783,0.802359892772981,0.8143837028916526,0.8174591624668914,0.8212195710674219,0.8201317034729881,0.8205823219681453,0.8312577884295995,0.8026667355984014,0.8207840551054993,0.7949354396780868,0.752978977268193,0.698878788116515,0.6563431664621658
