rank,logical_method,method,mean_pr_auc,average_rank
1,pste_fol,PSTE--Fast Outward Ladder,0.723399719029844,4.277777777777778
2,pste_adasyn,PSTE--ADASYN,0.7209677829543297,5.333333333333333
3,pste_geometric_smote,PSTE--G-SMOTE,0.7196839327418202,5.611111111111111
4,pste_smote,PSTE--SMOTE,0.7201307431208304,6.222222222222222
5,pste_kmeans_smote,PSTE--KMeans-SMOTE,0.7163642554384347,6.222222222222222
6,pste_borderline_smote,PSTE--Borderline-SMOTE,0.7196588855086267,6.555555555555555
7,pste_mgvae,PSTE--MGVAE,0.7150205030582977,7.944444444444445
8,pste_ros,PSTE--ROS,0.7165947382063161,8.277777777777779
9,brf,Balanced Random Forest,0.7046351786952378,8.5
10,original_prior,Original-prior ensemble,0.7135639463374637,10.38888888888889
11,os_fol,Fast Outward Ladder,0.7103379464760483,11.88888888888889
12,os_geometric_smote,G-SMOTE,0.7071448530815446,11.944444444444445
13,class_weighted,Class-weighted ensemble,0.7061867987501054,11.944444444444445
14,os_smote,SMOTE,0.7021615618406406,14.333333333333334
15,os_mgvae,MGVAE,0.6989316006341135,14.722222222222221
16,os_ros,Random oversampling,0.6995306230454124,15.166666666666666
17,os_borderline_smote,Borderline-SMOTE,0.6954486140762375,16.0
18,easy_ensemble,EasyEnsemble,0.6896191472193026,16.166666666666668
19,os_kmeans_smote,KMeans-SMOTE,0.6946234415958249,16.555555555555557
20,balanced_bagging,Balanced Bagging,0.685834385406753,17.555555555555557
21,os_adasyn,ADASYN,0.6920478011642828,18.055555555555557
22,rusboost,RUSBoost,0.6270935220200222,19.333333333333332
