method_a,method_a_label,method_b,method_b_label,mean_delta,median_delta,wins_a,ties,losses_a,rank_biserial,wilcoxon_nonzero_n,wilcoxon_exact_p,bootstrap_95_low,bootstrap_95_high,holm_p_21
pste_fol,PSTE--Fast Outward Ladder,os_adasyn,ADASYN,0.0313519178655613,0.024791140051450222,18,0,0,1.0,18,7.62939453125e-06,0.02062805839180836,0.044221948669990276,0.00016021728515625
pste_fol,PSTE--Fast Outward Ladder,os_kmeans_smote,KMeans-SMOTE,0.02877627743401906,0.019379405480937723,18,0,0,1.0,18,7.62939453125e-06,0.014678092409204308,0.04651768472571992,0.00016021728515625
pste_fol,PSTE--Fast Outward Ladder,os_ros,Random oversampling,0.023869095984431724,0.017254749733680852,18,0,0,1.0,18,7.62939453125e-06,0.014580619705478219,0.03479699757319114,0.00016021728515625
pste_fol,PSTE--Fast Outward Ladder,balanced_bagging,Balanced Bagging,0.03756533362309089,0.027507491214152635,17,0,1,0.9883040935672515,18,1.52587890625e-05,0.02305780297071982,0.05396622961504568,0.000274658203125
pste_fol,PSTE--Fast Outward Ladder,os_mgvae,MGVAE,0.024468118395730497,0.015351015195958884,17,0,1,0.9883040935672515,18,1.52587890625e-05,0.013064614032629257,0.038223428100474535,0.000274658203125
pste_fol,PSTE--Fast Outward Ladder,class_weighted,Class-weighted ensemble,0.0172129202797387,0.010519220097818693,17,0,1,0.9883040935672515,18,1.52587890625e-05,0.008291995396442752,0.02784954677829226,0.000274658203125
pste_fol,PSTE--Fast Outward Ladder,os_smote,SMOTE,0.021238157189203414,0.015060259891488126,17,0,1,0.9766081871345029,18,2.288818359375e-05,0.012849514781765038,0.03117837103665918,0.00034332275390625
pste_fol,PSTE--Fast Outward Ladder,rusboost,RUSBoost,0.09630619700982183,0.10182568517924462,16,0,2,0.9649122807017544,18,3.814697265625e-05,0.061510249966082585,0.13301967662275202,0.0005340576171875
pste_fol,PSTE--Fast Outward Ladder,os_borderline_smote,Borderline-SMOTE,0.027951104953606618,0.017034249244334942,17,0,1,0.9649122807017544,18,3.814697265625e-05,0.016252130683686965,0.04177305573132479,0.0005340576171875
pste_fol,PSTE--Fast Outward Ladder,original_prior,Original-prior ensemble,0.009835772692380394,0.007030773129706347,17,0,1,0.9649122807017544,18,3.814697265625e-05,0.004905675299202256,0.01614805193621376,0.0005340576171875
pste_fol,PSTE--Fast Outward Ladder,os_geometric_smote,G-SMOTE,0.016254865948299394,0.007711004780326797,16,0,2,0.9415204678362573,18,7.62939453125e-05,0.007693031151232895,0.028601467339393834,0.0008392333984375
pste_fol,PSTE--Fast Outward Ladder,pste_ros,PSTE--ROS,0.006804980823527893,0.003209797163077177,15,0,3,0.9064327485380117,18,0.00019073486328125,0.0030465716162158185,0.01148970446259786,0.0019073486328125
pste_fol,PSTE--Fast Outward Ladder,os_fol,Fast Outward Ladder,0.01306177255379561,0.009609484607788654,15,0,3,0.8830409356725146,18,0.00032806396484375,0.006693876716272904,0.020719254894849087,0.00295257568359375
pste_fol,PSTE--Fast Outward Ladder,easy_ensemble,EasyEnsemble,0.03378057181054131,0.023490523185419887,16,0,2,0.7309941520467836,18,0.0047454833984375,0.007914253643496103,0.05782452229419524,0.0379638671875
pste_fol,PSTE--Fast Outward Ladder,pste_mgvae,PSTE--MGVAE,0.00837921597154634,0.0024705875871410266,13,0,5,0.7192982456140351,18,0.0055999755859375,0.003504750854588415,0.013947544336235868,0.0391998291015625
pste_fol,PSTE--Fast Outward Ladder,pste_smote,PSTE--SMOTE,0.0032689759090137327,0.0019805551051985115,14,0,4,0.7076023391812866,18,0.0065765380859375,0.0007006735775496822,0.0060635002136599555,0.039459228515625
pste_fol,PSTE--Fast Outward Ladder,pste_adasyn,PSTE--ADASYN,0.002431936075514368,0.0012126852750294348,12,0,6,0.5555555555555556,18,0.03849029541015625,0.0005409889627744578,0.004776806725381557,0.19245147705078125
pste_fol,PSTE--Fast Outward Ladder,pste_kmeans_smote,PSTE--KMeans-SMOTE,0.007035463591409332,0.0009112695967665174,12,0,6,0.5321637426900585,18,0.04827880859375,0.0005507050769824404,0.01609340529546521,0.193115234375
pste_fol,PSTE--Fast Outward Ladder,brf,Balanced Random Forest,0.018764540334606172,0.004946224655796028,11,0,7,0.4502923976608187,18,0.0987396240234375,-0.0007756378992176028,0.044367043526346316,0.24428558349609375
pste_fol,PSTE--Fast Outward Ladder,pste_borderline_smote,PSTE--Borderline-SMOTE,0.003740833521217337,0.0008190408148620598,12,0,6,0.47368421052631576,18,0.08142852783203125,0.00023477146746540958,0.007577321006823114,0.24428558349609375
pste_fol,PSTE--Fast Outward Ladder,pste_geometric_smote,PSTE--G-SMOTE,0.003715786288023795,0.0008295231047619755,11,0,7,0.25146198830409355,18,0.3692169189453125,-0.0011403594295414216,0.009738702224550456,0.3692169189453125
