dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.4313384232138181,0.425552699521972,0.4222032368486789,0.3963813105589917,0.41779655879237965,0.4098783963797322,0.4196419780939023,0.4306676040523612,0.4270721688523257,0.43474138982532856,0.4357355129274617,0.42811203897759753,0.43309463051308345,0.4315921061180098,0.43515672412677137,0.4340880789672301,0.43646675189651873,0.43766932256469343,0.467323016251232,0.39847330443656215,0.5283827493275393,0.42034396381452316
diabetes,0.6912517800572656,0.6947413359791674,0.6807194909302415,0.6908407651808677,0.6899767780391516,0.6813771472051268,0.6671389291393431,0.694489443598706,0.6920377249484109,0.6826713171439336,0.6992989663821979,0.6999741550692746,0.7002459799014394,0.6989455416160026,0.6975934798873608,0.7060102949051165,0.7039744290490356,0.7011751947270484,0.7021856531384186,0.7028229133725503,0.7176246357526149,0.6862538295496264
ecoli,0.9171387871387872,0.9209259259259259,0.9080820105820105,0.8923831070889894,0.9087260887260887,0.8690223665223665,0.8625058859269384,0.9176149776149776,0.9308333333333334,0.9220238095238095,0.9352380952380952,0.9250793650793651,0.9232936507936508,0.9334218559218559,0.9178439153439154,0.9387698412698413,0.9219973544973545,0.942010582010582,0.9221584896584897,0.8553497510115158,0.9218939393939394,0.7439039786669286
ionosphere,0.9723510741394488,0.9697185419095119,0.9681222954190092,0.9706773148354312,0.9653815941536805,0.9637418538043246,0.9656221969525786,0.9671631258014355,0.971324081524982,0.9681175105537062,0.9727480127015029,0.9732917156097229,0.9720304275753017,0.9730239287034091,0.9727283745519342,0.9720329344046593,0.9732149176719017,0.9742539651189305,0.9695146531923264,0.943657428294554,0.959692393474718,0.959836994744209
keel-ecoli2,0.9050062550822172,0.908060318921694,0.906445346362593,0.9103188045622007,0.916184858893038,0.9011506757375286,0.907698798439825,0.9031985234167412,0.9054505008047191,0.9138700805927211,0.9089043191113599,0.9089922686093691,0.9117535666537756,0.9086375246040053,0.9111038035854889,0.9057809055933953,0.9047453725667736,0.9100055615492909,0.9098590074669631,0.8859143149779511,0.884923452052593,0.8563691648179418
keel-ecoli3,0.723488252451127,0.6365215040843477,0.6671842645469754,0.6589371804109042,0.6310662423575247,0.6360244186822293,0.6105271041809359,0.7154423874682884,0.7168207040061321,0.6803123719861323,0.7165131045807677,0.7032822088644866,0.7144087308311042,0.7107358578904486,0.7145714309697193,0.7179028640041466,0.714296847786111,0.7286453104668436,0.6466807425862673,0.6329654765942203,0.6522575787113603,0.6276863645307664
keel-glass2,0.44914350393710556,0.4312093579985737,0.48325439992106656,0.4420584785584785,0.44406028296480127,0.4689357247690581,0.4839892823226156,0.4666719567717346,0.4347575169928111,0.4779568887902221,0.4775447818339975,0.4447668230891915,0.4301403847127531,0.48822741347251153,0.47289543789543786,0.4541805779741796,0.43337422882286475,0.4924035771971788,0.3247279572279572,0.4037998007992848,0.37391470858576115,0.2582759538458423
keel-glass6,0.9469493924634683,0.9453626799557032,0.9298144526598698,0.9410282489168658,0.9501072872003105,0.9226721841769722,0.932003825302731,0.9380583559272412,0.9553063875122698,0.9318557239487472,0.9531770081770081,0.9552604802604802,0.9552604802604802,0.9518328240387064,0.9521652421652421,0.9521317843376667,0.9583660130718954,0.9528669750728574,0.9465087933508987,0.9361886661097187,0.9350944085154611,0.8920572502432969
keel-page-blocks0,0.9044649719181549,0.9002309744347451,0.8942381369585936,0.8944286681902666,0.8926006359468244,0.8820058824466941,0.8793598638438135,0.8949768790926237,0.9096329922012251,0.8922119230387702,0.9064055399509274,0.9071548643919339,0.9059453227026707,0.9100818195336267,0.9089486183449113,0.9066491202857674,0.9110944409767868,0.9086644341031948,0.8934998813494794,0.8684993160135746,0.8230608191599714,0.7783857775871793
keel-vehicle1,0.6432658175431597,0.6461458574602147,0.6415670099129247,0.6540124939693592,0.6461933252893666,0.6379272245536798,0.6180779786032635,0.6384429206416133,0.6126217177856118,0.6418351325173837,0.651031444734452,0.6541997070612849,0.6533664197340554,0.6520100381873192,0.6510117505662062,0.6491283680985814,0.6471120361805726,0.6576921737477328,0.6471834495964669,0.643060646983239,0.5942142709358844,0.5495598939211013
keel-yeast1,0.6424925424705259,0.6429581577667985,0.6378402827896912,0.6401112832882921,0.6391675697864534,0.6355055966469471,0.6297503247693562,0.641660696414407,0.6448953316209421,0.6351335096332686,0.6425960851042196,0.6453952467818785,0.644130099568579,0.6450462820710705,0.6443852185738969,0.6403028962348121,0.6434441530756685,0.6447417188600533,0.6398481447668565,0.6276972893574041,0.612651100208247,0.5313268619497473
keel-yeast3,0.8414755188698066,0.8411075123203451,0.8263774284369122,0.8357672567566288,0.8238829486859437,0.8081935145396882,0.7971629336795744,0.8339013741760544,0.8302375805437596,0.822458382801548,0.8424080229335114,0.8414478894063527,0.844202309549494,0.8435691794888265,0.8385728204186421,0.8404700879471735,0.8441684921826951,0.8410223668836975,0.84620080179088,0.8069864647405101,0.8269761771430756,0.7773110339306302
keel-yeast5,0.8311009948630722,0.8217959423724248,0.8092689447074745,0.8254628288633151,0.8080238100427324,0.8018654719765832,0.8032068678186864,0.8406041783707763,0.8229446211807679,0.8134647266453847,0.8283865285373906,0.8309726454012852,0.836246949628903,0.8354325893388932,0.8296646953461745,0.8390660153800606,0.8112795617670877,0.8332104652666247,0.7949354396780868,0.752978977268193,0.698878788116515,0.6563431664621658
openml-1068-pc1,0.4433379242557518,0.4224497099872141,0.4364313391660767,0.40472703296918355,0.4192510144126108,0.4454882627126238,0.43033977245930705,0.4442920723368851,0.3793968017424535,0.4391874090313522,0.4515508175680834,0.43531044577154393,0.44716386812653025,0.4443496517571766,0.45042750141374716,0.44557689958272106,0.42847839994078574,0.448941834558449,0.42802976693612427,0.4233161943121069,0.3656164776571499,0.22040818184789876
openml-1487-ozone-level-8hr,0.5120478708512755,0.4829390895179916,0.4718669744621305,0.47995076230831396,0.4008335504719395,0.446232731040601,0.458008476406021,0.49825262223758926,0.46660905996737456,0.5166227273614109,0.5388226888080515,0.5317066409260753,0.5105494213178976,0.5363836854842092,0.525964658153504,0.5194381025321709,0.5188940540688026,0.5380691557141135,0.48427891438181586,0.44958858737078355,0.4925446432223125,0.34473301538687956
openml-40691-wine-quality-red,0.16443337917096704,0.1615519329748025,0.1541011116813524,0.14334783485784566,0.146455382411576,0.14161602479889737,0.18703646168865024,0.16267816638505475,0.16363106203434755,0.19171369222663645,0.16430462531835013,0.15776682177453732,0.17450837164467822,0.16967305533612026,0.17926622854636107,0.1825534705803232,0.16444946223008003,0.1818326432722203,0.1493646226774824,0.14851971985244963,0.1421092343836271,0.0789624453646363
sonar,0.932845067677956,0.9315067049043191,0.9374248451470535,0.9317679252752361,0.9326007465772896,0.9318547292947008,0.9297382306903115,0.931304697920585,0.925617188717315,0.930251326289799,0.9347528159867676,0.9319425720776043,0.9340805674220048,0.9336921689672529,0.9333610225966211,0.9339802557542813,0.9312788351187323,0.9327788876910525,0.9346339409597758,0.8917002322570167,0.9148831772768197,0.9406859013583179
vehicle,0.9824246304340075,0.980983180018756,0.9800003578493754,0.9803823962685617,0.9786266290340937,0.9781268832865672,0.9797296613649551,0.9817742159946428,0.9731309333696192,0.981844868221194,0.9830651438889452,0.9838145096152829,0.9825787719441962,0.9832833016274345,0.9832032823833159,0.9833609791152055,0.98259308443169,0.9831805874289824,0.9764999415047605,0.9734998535699219,0.9684260960298593,0.9652396183387089
