dataset,original_prior,class_weighted,os_smote,os_ros,os_kmeans_smote,os_adasyn,os_borderline_smote,os_geometric_smote,os_mgvae,os_fol,pste_smote,pste_ros,pste_kmeans_smote,pste_adasyn,pste_borderline_smote,pste_geometric_smote,pste_mgvae,pste_fol,brf,balanced_bagging,easy_ensemble,rusboost
blood-transfusion,0.03998883244209935,0.03568625466100685,0.03248974555278694,0.04497043341405574,0.0417658562012761,0.031890354584863424,0.041240437472479755,0.0357946653950408,0.038294467975063334,0.035918558357933866,0.03072097739382854,0.0336677026119145,0.03034446428389994,0.031534335247932914,0.03324906323557998,0.030597261747553842,0.03306046255165303,0.03211672885931151,0.03422985910844901,0.03135477487311683,0.04650230393454416,0.06510558128624551
diabetes,0.03456160929176356,0.028921656394488637,0.03106257701774607,0.02809025204200302,0.023704272962881873,0.02878344440932778,0.02699687684932584,0.04366974496325631,0.029778040473008756,0.034763269908042585,0.03290556017014864,0.037320255573661594,0.03076462789166497,0.030129334473121914,0.03402581018921947,0.03501765955603321,0.037670300937280694,0.0331964027050406,0.027800315954090302,0.04399652657183836,0.03981690017147693,0.03810861956247953
ecoli,0.07319925379726869,0.10675032199635605,0.14240096024853843,0.14612412382348952,0.13436371765481506,0.14528554810538596,0.1600536401114435,0.09644815762240656,0.08342950799467058,0.10095210017930403,0.08452566587977778,0.10138857826187934,0.0929230390057198,0.08990869764169278,0.111786130516592,0.06970056430396465,0.07469673878206788,0.07894804215335775,0.10041707143620993,0.1353295396502796,0.0866882002204319,0.14761417142158995
ionosphere,0.01554449933128097,0.016670190217411597,0.0197508540819279,0.01885900950534393,0.022638375724170774,0.02166775858831825,0.020696618046114723,0.020602752474363682,0.01590554423610689,0.021017583903393394,0.014536503919518396,0.013962106388889846,0.015424199551866524,0.015055903660083171,0.014705496156533404,0.015136491977035208,0.01488391688445326,0.014929857532923387,0.018306542733560856,0.02941180411480712,0.025346289424288262,0.017945779500877928
keel-ecoli2,0.05357777299787665,0.05584132190607775,0.058500978798774625,0.055075143619397825,0.050364190981074496,0.06649614902158063,0.056460338819661546,0.05669411620177055,0.05277649995960205,0.050817181326313444,0.055159653346086725,0.05675938350737721,0.05211032916021363,0.059858537949721055,0.05581732147966717,0.06023746299831881,0.06012888867481961,0.054436171399322816,0.0538251014920736,0.06645791707602422,0.07095027690559351,0.08016554936541334
keel-ecoli3,0.14820110151800525,0.13894270553017904,0.16883420681436248,0.14697163024425489,0.13022828359234154,0.148190849332861,0.14915874158436404,0.17777563137137986,0.16596565118897377,0.1589906477850869,0.15007918607175716,0.15429110386894715,0.13910359590241106,0.1419115648516461,0.14642904736559448,0.15632392392060607,0.1585530850578855,0.15923168073030716,0.13411886402498333,0.1412604895464563,0.14091657528590643,0.1820907835028658
keel-glass2,0.1965861417056513,0.18729721284864986,0.19118240892668176,0.19007463534143484,0.19774858408218934,0.1925744204474104,0.20398049407966523,0.2079115179793117,0.1860192499910667,0.19644599659081738,0.21881681442724896,0.20559222024908916,0.18426167732503768,0.19570137815756847,0.20967051505722442,0.2159920365517245,0.21107421667981696,0.19642119064315977,0.1122385169180838,0.18939900736714932,0.1574334138883902,0.15059500469951687
keel-glass6,0.057298928632082434,0.04992117288768816,0.05996096469049351,0.04740760272691292,0.05064380499465877,0.05089502958562575,0.06599745714367619,0.057642145308166075,0.043387320428080176,0.05964471566163894,0.04793976640544752,0.047990778696056745,0.047990778696056745,0.04594057958743475,0.04766086206293945,0.04615113986190053,0.04292327734542048,0.04826922468863521,0.05617289314283766,0.053486421058951863,0.05753099185755506,0.0851192117657377
keel-page-blocks0,0.020875637827313488,0.02099892185276231,0.018282866608149997,0.020826040607111858,0.020034778065856865,0.01833933879792502,0.01824070511708242,0.021135981405244943,0.01928909969106674,0.018546058742211567,0.01887214178804409,0.01932107810554492,0.01949721755831761,0.015869198311746144,0.016832795665850657,0.01953171273906075,0.017369194677847897,0.01748172914898897,0.021722002193265838,0.025260789806786425,0.019655697088376303,0.05937029392764431
keel-vehicle1,0.049870373445443074,0.0523404691849264,0.06155063218069992,0.04251136231825837,0.05730627398352881,0.06617096190486697,0.0667974507452372,0.0529083414806791,0.045105066551903425,0.06963691536094194,0.05064216379705245,0.049553993609426646,0.04911628509682082,0.05359414675253328,0.05877534035567008,0.05077155795647495,0.05067940946823799,0.05215122620889712,0.051292002018783756,0.04817417046820636,0.06848019235942229,0.0585147009263808
