dataset,screen_backbone,seed,fold,logical_method,pr_auc,roc_auc,f1,recall,precision,balanced_accuracy,mcc,accuracy
blood-transfusion,bagged_cart,42,1,balanced_bagging,0.3544079549113134,0.670443469785575,0.4385964912280701,0.6944444444444444,0.3205128205128205,0.614766081871345,0.1962156652626057,0.5733333333333334
blood-transfusion,bagged_cart,42,1,brf,0.4262110779479338,0.6944444444444445,0.4948453608247423,0.6666666666666666,0.3934426229508196,0.6710526315789473,0.2974428343837292,0.6733333333333333
blood-transfusion,bagged_cart,42,1,class_weighted,0.3827222335051973,0.6565545808966863,0.39436619718309857,0.3888888888888889,0.4,0.6023391812865497,0.20667724684415945,0.7133333333333334
blood-transfusion,bagged_cart,42,1,easy_ensemble,0.5904599932828211,0.754995126705653,0.4864864864864865,0.75,0.36,0.6644736842105263,0.2809757434745082,0.62
blood-transfusion,bagged_cart,42,1,original_prior,0.3703402867541407,0.660696881091618,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.597953216374269,0.195906432748538,0.7066666666666667
blood-transfusion,bagged_cart,42,1,os_adasyn,0.3399001464708663,0.6363304093567252,0.3820224719101123,0.4722222222222222,0.320754716981132,0.5782163742690059,0.139767935433754,0.6333333333333333
blood-transfusion,bagged_cart,42,1,os_borderline_smote,0.3992989915665141,0.6691033138401559,0.4318181818181818,0.5277777777777778,0.3653846153846153,0.6191520467836258,0.2138555221685985,0.6666666666666666
blood-transfusion,bagged_cart,42,1,os_fol,0.3506709534533584,0.6510721247563354,0.4050632911392405,0.4444444444444444,0.3720930232558139,0.6038011695906433,0.1960693919841641,0.6866666666666666
blood-transfusion,bagged_cart,42,1,os_geometric_smote,0.4169177798687967,0.6821393762183237,0.4367816091954023,0.5277777777777778,0.3725490196078431,0.6235380116959064,0.2227571196331478,0.6733333333333333
blood-transfusion,bagged_cart,42,1,os_kmeans_smote,0.3744836601230809,0.6587475633528264,0.3684210526315789,0.3888888888888889,0.35,0.5804093567251462,0.1553151860493488,0.68
blood-transfusion,bagged_cart,42,1,os_mgvae,0.3454296636491482,0.6530214424951266,0.4383561643835616,0.4444444444444444,0.43243243243243246,0.6301169590643274,0.25782646424301076,0.7266666666666667
blood-transfusion,bagged_cart,42,1,os_ros,0.3328703931172582,0.6387670565302143,0.4329896907216495,0.5833333333333334,0.3442622950819672,0.6162280701754386,0.2021085925940724,0.6333333333333333
blood-transfusion,bagged_cart,42,1,os_smote,0.3997346937284881,0.6582602339181287,0.3902439024390244,0.4444444444444444,0.3478260869565217,0.5906432748538011,0.1679088835706781,0.6666666666666666
blood-transfusion,bagged_cart,42,1,pste_adasyn,0.37318234042696447,0.6537524366471736,0.4,0.3888888888888889,0.4117647058823529,0.6067251461988304,0.21773687070216685,0.72
blood-transfusion,bagged_cart,42,1,pste_borderline_smote,0.38982030780619575,0.6613060428849903,0.4507042253521127,0.4444444444444444,0.45714285714285713,0.6388888888888888,0.28049054928850214,0.74
blood-transfusion,bagged_cart,42,1,pste_fol,0.375617413540273,0.6608187134502922,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6162280701754386,0.2324561403508772,0.72
blood-transfusion,bagged_cart,42,1,pste_geometric_smote,0.37687235474497066,0.6593567251461988,0.3783783783783784,0.3888888888888889,0.3684210526315789,0.5891812865497076,0.17514856979467808,0.6933333333333334
blood-transfusion,bagged_cart,42,1,pste_kmeans_smote,0.42209798603386645,0.6574074074074073,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6162280701754386,0.2324561403508772,0.72
blood-transfusion,bagged_cart,42,1,pste_mgvae,0.3781532054122852,0.6605750487329434,0.40540540540540543,0.4166666666666667,0.39473684210526316,0.6074561403508772,0.21103967016244,0.7066666666666667
